seqnames	start	end	width	strand	no.cpgs	min_smoothed_fdr	Stouffer	HMFDR	Fisher	maxdiff	meandiff	overlapping.genes	probes
chr7	100849825	100850157	333	*	2	0.385853084394367	0.999803365333545	0.876049426003569	0.973659468757297	0.0187569161815857	0.00895173658013642	SLC12A9, SLC12A9-AS1	cg08451977;cg12803060
chr10	860677	860862	186	*	2	0.638677847102727	0.999803365333545	0.876049426003569	0.973659468757297	0.0105490543904518	0.00588048900468889	LARP4B	cg15213732;cg23889654
chr9	73027862	73028130	269	*	2	0.638677847102727	0.999816653788962	0.880854133149988	0.975525803900735	0.00185640256606991	0.00165527415601023	ALDH1A1	cg01528792;cg13862983
chr16	3019777	3020118	342	*	2	0.638934458694182	0.999816653788962	0.880854133149988	0.975525803900735	0.00150854981585678	0.00150488144671782	TNFRSF12A, CLDN6	cg01734140;cg04070176
chr16	4852372	4852830	459	*	4	0.912913424329717	0.9999999999959	0.950317167673193	0.999953428879561	0.00858474014492754	0.00261756824786871	UBN1	cg18699004;cg27414860;cg11145749;cg09766769
chr10	46090241	46090807	567	*	8	0.912913424329717	1	0.890841438070043	0.999999356572697	0.0116807559249787	0.00282196966911765	NA	cg13806670;cg26560794;cg13618939;cg18543772;cg14281210;cg02702510;cg18980469;cg26476156
chr21	45139229	45140831	1603	*	6	0.812563776241552	1	0.95495471728492	0.999999731036037	0.00604694509803927	0.00147627254049446	ADARB1	cg00784703;cg14522549;cg16332283;cg03299946;cg26405759;cg03366992
chr8	1501226	1501898	673	*	6	0.366612052117972	1	0.966316903965971	0.999999944596756	0.0144665353128731	0.00510324466481958	DLGAP2	cg03185622;cg27469019;cg24356530;cg11114923;cg00510502;cg02985959
chr1	1102276	1102294	19	*	2	0.999653957653172	0.999999999011741	0.999988945180933	0.999999999755583	0.00270285658226771	0.00143268622847399	AL390719.3, C1orf159	cg01537494;cg02825344
chr1	2257894	2258153	260	*	2	0.999653957653172	0.999999999011741	0.999988945180933	0.999999999755583	0.00829713554987218	0.00763910621696509	SKI	cg12131894;cg08868601
chr1	3377869	3377918	50	*	2	0.999653957653172	0.999999999011741	0.999988945180933	0.999999999755583	0.00243316692242116	0.00151704326214836	PRDM16	cg08107987;cg10629420
chr1	6520354	6520772	419	*	2	0.999653957653172	0.999999999011741	0.999988945180933	0.999999999755583	0.00602950027450982	0.00298872558780904	NA	cg13356427;cg01715088
chr1	9789165	9789174	10	*	2	0.999653957653172	0.999999999011741	0.999988945180933	0.999999999755583	0.00525077124467178	0.00441365079582268	CLSTN1	cg07970040;cg04340595
chr1	21766368	21766405	38	*	2	0.999653957653172	0.999999999011741	0.999988945180933	0.999999999755583	0.0012045463938619	0.000532635853793692	USP48	cg26885858;cg04157804
chr1	28414998	28415004	7	*	2	0.999653957653172	0.999999999011741	0.999988945180933	0.999999999755583	-0.00130618767263427	-0.00059841675191816	PHACTR4	cg10397628;cg22760576
chr1	46914023	46914033	11	*	2	0.999653957653172	0.999999999011741	0.999988945180933	0.999999999755583	0.00371427813299231	0.00110733520843989	NA	cg14258341;cg00279790
