seqnames	start	end	width	strand	no.cpgs	min_smoothed_fdr	Stouffer	HMFDR	Fisher	maxdiff	meandiff	overlapping.genes	probes
chr7	158789503	158790115	613	*	4	0.000324865245072342	0.862071726256113	0.70683757443542	0.947684306275641	0.0776418158985508	0.058341246216752	ESYT2	cg25769590;cg09826364;cg19418458;cg04111992
chr19	50666238	50666379	142	*	2	0.155289977418484	0.98841627884177	0.823048308069663	0.949151620113364	0.0251435981244672	0.0240206708785166	SHANK1	cg10374084;cg09697795
chr5	154070325	154070373	49	*	2	0.161233980955021	0.99324622133784	0.881829964542464	0.975755319120191	0.00813254901705031	0.0066415077063086	MFAP3	cg05191217;cg12924302
chr19	23941207	23941871	665	*	6	5.97589034638701e-07	0.93096403776987	0.720977830882937	0.985180885881027	0.0631132009974425	0.0446715485946292	ZNF726, AC011503.1	cg02478247;cg09152619;cg08332658;cg01615818;cg07460376;cg27517351
chr8	599525	600555	1031	*	6	6.97400302885231e-06	0.985353297880505	0.738616017969782	0.990364428527461	0.12434242858653	0.0655277270558397	NA	cg00450029;cg23958373;cg07234876;cg02524346;cg26554054;cg15331088
chr7	135413023	135413099	77	*	2	0.314182825187286	0.997360753749329	0.943744191496669	0.994075896731746	0.0294518514066497	0.0247037484228474	CNOT4	cg25963505;cg23715104
chr7	1198662	1198977	316	*	4	0.149325335859475	0.999414312473864	0.830971149668234	0.994675759931146	-0.121389837506394	-0.0594257502235721	NA	cg16145915;cg05779406;cg18765753;cg12950816
chr6	291687	293285	1599	*	9	1.14029717353051e-07	0.945831465134431	0.703636724440107	0.994686319207662	0.129219891072464	0.105842146799564	DUSP22, AL365272.1	cg07332563;cg21548813;cg03395511;cg18110333;cg05064044;cg11235426;cg01516881;cg26668828;cg01171360
chr16	90143751	90144788	1038	*	5	0.000324865245072342	0.999058581125137	0.795378086680878	0.995100819827363	0.0948969266334186	0.0592892700965047	FAM157C, RNU6-355P, AC133919.2	cg06295223;cg05270750;cg04298253;cg16611967;cg09435890
chr2	97215789	97216131	343	*	3	0.526770553601155	0.999712664294539	0.885658955626077	0.99533824363697	0.00829233325660699	0.00437958044359186	ANKRD36	cg16260241;cg04266887;cg14255238
chr7	1209495	1209562	68	*	2	0.602128783311044	0.998638569205633	0.967394380579009	0.997949190031424	0.0837478213052004	0.0524213542028986	NA	cg03188948;cg18402987
chr15	25436496	25436682	187	*	2	0.554991472426551	0.998638569205633	0.967394380579009	0.997949190031424	0.0226628591645354	0.0152825635123615	UBE3A	cg07144689;cg08564375
chr16	32096464	32096623	160	*	2	0.698907561830581	0.998638569205633	0.967394380579009	0.997949190031424	0.0255234677757887	0.0169111884156012	NA	cg09320731;cg14176273
chr20	58662458	58662959	502	*	2	0.583021932055893	0.998638569205633	0.967394380579009	0.997949190031424	0.0385362017050299	0.0233895077578858	STX16, STX16-NPEPL1	cg03472888;cg18965930
chr21	15352848	15352983	136	*	2	0.228727724720091	0.998638569205633	0.967394380579009	0.997949190031424	-0.0906708793734016	-0.0736627922067349	NA	cg02197629;cg10044179
chr16	2908554	2908934	381	*	4	0.0124955068477002	0.999902376440805	0.889402730642655	0.999036629417774	0.0441978950639386	0.0348349933866155	NA	cg19328294;cg05895034;cg09745688;cg05490519
chr8	144367072	144367553	482	*	4	0.579404449155555	0.999996275223941	0.901971186859353	0.999455181516586	0.00969975737425403	0.00420053618073318	NA	cg09076216;cg13283845;cg19657945;cg17628060
chr19	21264896	21265421	526	*	3	0.122182730042533	0.999589097605317	0.95811021795187	0.999687694338008	-0.103976276768969	-0.0837649359846548	NA	cg01483656;cg06238316;cg09352518
