"seqnames","start","end","min_smoothed_fdr","meandiff","overlapping.genes","probes","Source"
"chr7",158789503,158790115,0.000324865245072342,0.058341246216752,"ESYT2","cg25769590;cg09826364;cg19418458;cg04111992","CoRSIV"
"chr19",50666238,50666379,0.155289977418484,0.0240206708785166,"SHANK1","cg10374084;cg09697795","CoRSIV"
"chr5",154070325,154070373,0.161233980955021,0.0066415077063086,"MFAP3","cg05191217;cg12924302","CoRSIV"
"chr19",23941207,23941871,5.97589034638701e-07,0.0446715485946292,"ZNF726, AC011503.1","cg02478247;cg09152619;cg08332658;cg01615818;cg07460376;cg27517351","CoRSIV"
"chr8",599525,600555,6.97400302885231e-06,0.0655277270558397,NA,"cg00450029;cg23958373;cg07234876;cg02524346;cg26554054;cg15331088","CoRSIV"
"chr7",135413023,135413099,0.314182825187286,0.0247037484228474,"CNOT4","cg25963505;cg23715104","CoRSIV"
"chr7",1198662,1198977,0.149325335859475,-0.0594257502235721,NA,"cg16145915;cg05779406;cg18765753;cg12950816","CoRSIV"
"chr6",291687,293285,1.14029717353051e-07,0.105842146799564,"DUSP22, AL365272.1","cg07332563;cg21548813;cg03395511;cg18110333;cg05064044;cg11235426;cg01516881;cg26668828;cg01171360","CoRSIV"
"chr16",90143751,90144788,0.000324865245072342,0.0592892700965047,"FAM157C, RNU6-355P, AC133919.2","cg06295223;cg05270750;cg04298253;cg16611967;cg09435890","CoRSIV"
"chr2",97215789,97216131,0.526770553601155,0.00437958044359186,"ANKRD36","cg16260241;cg04266887;cg14255238","CoRSIV"
"chr7",1209495,1209562,0.602128783311044,0.0524213542028986,NA,"cg03188948;cg18402987","CoRSIV"
"chr15",25436496,25436682,0.554991472426551,0.0152825635123615,"UBE3A","cg07144689;cg08564375","CoRSIV"
"chr16",32096464,32096623,0.698907561830581,0.0169111884156012,NA,"cg09320731;cg14176273","CoRSIV"
"chr20",58662458,58662959,0.583021932055893,0.0233895077578858,"STX16, STX16-NPEPL1","cg03472888;cg18965930","CoRSIV"
